time,obs_hanzhong,pred_hanzhong,err_hanzhong,obs_yangxian,pred_yangxian,err_yangxian,obs_youshui,pred_youshui,err_youshui,obs_lianghekou,pred_lianghekou,err_lianghekou,obs_shiquan,pred_shiquan,err_shiquan
2015-05-17,14.111942,20.042732,5.93079,32.43928,43.588642,11.149361,3.0877552,3.349401,0.2616458,49.899857,55.27965,5.379795,192.86523,303.5554,110.690155
2015-05-18,10.605456,15.243237,4.63778,26.944868,32.641884,5.697016,2.018254,2.4981058,0.47985172,31.408115,39.09397,7.685856,129.3214,276.115,146.7936
2015-05-19,7.8497725,12.094889,4.245116,19.55787,25.210148,5.652277,1.7375576,2.0330012,0.29544353,19.940645,25.046785,5.10614,89.583046,208.6216,119.03855
2015-05-20,9.375299,14.407519,5.03222,19.808662,33.61654,13.807877,1.8711452,1.8726139,0.0014686584,19.22752,25.477098,6.2495785,89.298546,217.5324,128.23386
2015-05-21,19.10148,32.395477,13.293997,52.72757,122.97386,70.24629,9.015784,8.792648,-0.22313595,40.48529,52.814926,12.329636,164.43962,305.07385,140.63423
2015-05-22,63.3789,82.86527,19.486374,148.6914,387.563,238.87158,21.189806,25.119488,3.9296818,69.51269,99.108734,29.596046,345.84497,368.16348,22.318512
2015-05-23,59.90724,82.00078,22.093536,186.0257,384.4533,198.42761,12.086783,17.834826,5.748042,54.294865,75.68934,21.394474,407.13446,372.75345,-34.381012
2015-05-24,31.644512,54.985786,23.341274,114.74318,208.19972,93.45654,7.1061907,9.3042555,2.1980648,30.074396,41.016308,10.941912,286.76514,293.7346,6.969452
2015-05-25,19.781721,35.91889,16.13717,61.600758,103.27113,41.670376,4.898264,5.7628565,0.86459255,18.84337,24.115345,5.2719746,179.94542,221.12689,41.181473
2015-05-26,14.621515,23.761564,9.140049,42.67675,62.91787,20.24112,3.8646908,4.150001,0.28531027,13.783817,15.756897,1.9730797,128.20584,164.52248,36.316635
2015-05-27,13.247404,19.4388,6.1913967,31.01192,42.093388,11.081467,3.0383,3.292995,0.25469494,11.506082,12.618306,1.1122246,98.46676,154.2994,55.832634
2015-05-28,34.224316,37.495434,3.2711182,41.72214,55.82531,14.1031685,4.091262,5.020259,0.92899704,16.703327,18.799978,2.096651,113.52681,220.84035,107.31354
2015-05-29,68.279015,89.80191,21.522896,126.98999,122.87831,-4.111679,6.2149167,5.704752,-0.51016474,25.343124,28.010986,2.667862,269.7815,435.80374,166.02225
2015-05-30,56.358124,79.61315,23.255028,163.00233,121.723946,-41.27839,2.8112292,4.36198,1.5507507,14.268872,22.949106,8.680234,273.4492,404.0769,130.62772
2015-05-31,33.878525,50.922306,17.043781,99.947845,90.28623,-9.661613,2.4254622,3.341658,0.91619587,13.49901,20.022089,6.523079,224.3794,349.8903,125.510895
2015-06-01,24.354046,33.36616,9.0121155,61.964134,75.69903,13.734894,3.4235778,4.6623783,1.2388005,14.963573,21.21424,6.2506657,192.64738,390.9354,198.28801
2015-06-02,31.934624,33.92982,1.9951973,60.45834,94.96009,34.50175,6.4694033,7.572501,1.1030979,29.202347,45.55803,16.355682,269.27954,806.3337,537.05414
2015-06-03,45.767258,45.54816,-0.21909714,89.45602,177.53938,88.08337,10.58393,16.028305,5.444375,68.68973,113.20408,44.51435,464.25684,1689.0465,1224.7897
2015-06-04,106.608246,49.657917,-56.95033,152.7544,201.89737,49.142975,16.040668,21.077051,5.0363827,70.58517,106.05643,35.47126,582.9358,1653.9384,1071.0026
2015-06-05,102.46867,36.959568,-65.50911,211.6914,145.026,-66.665405,10.615053,12.920092,2.3050385,41.5656,55.374035,13.808434,494.7425,907.7707,413.0282
2015-06-06,52.575607,26.14428,-26.431328,140.49944,89.56435,-50.93509,6.78897,7.2977705,0.5088005,24.938831,32.687813,7.7489815,341.98068,445.96484,103.98416
2015-06-07,27.74567,19.379591,-8.366079,66.98959,57.662724,-9.32687,4.824573,5.000426,0.17585278,21.036013,21.82244,0.78642654,203.53123,252.67554,49.144302
2015-06-08,34.932884,15.109142,-19.823742,48.844296,39.98698,-8.857315,4.1634517,3.8176494,-0.3458023,14.03014,15.248573,1.2184334,133.83833,173.19733,39.358994
2015-06-09,29.211163,12.1822815,-17.028881,54.521236,29.795576,-24.72566,3.124702,3.1004014,-0.024300575,10.8316145,11.41971,0.58809566,116.77286,128.90968,12.136826
2015-06-10,18.140364,10.119544,-8.02082,36.733326,23.461645,-13.271681,2.5517101,2.609314,0.057603836,8.988203,9.059157,0.07095432,96.01558,101.173294,5.157715
2015-06-11,12.704476,8.606033,-4.098443,24.94143,19.210587,-5.7308426,2.1003582,2.2428648,0.1425066,7.143159,7.480838,0.3376789,70.63604,80.90957,10.273529
2015-06-12,19.695011,22.511593,2.8165817,39.762196,46.81079,7.0485954,4.6224194,5.270723,0.6483035,11.430825,12.866347,1.4355221,101.48314,133.43857,31.95543
2015-06-13,69.69138,76.00477,6.313385,154.9018,158.22491,3.32312,8.990211,8.4570055,-0.53320503,16.78981,18.67058,1.8807697,332.34894,335.30835,2.9594116
2015-06-14,55.682285,72.72139,17.039104,200.58824,157.72308,-42.865158,2.8375301,6.514909,3.6773787,6.291,14.574772,8.2837715,335.16727,337.5529,2.38562
2015-06-15,36.060295,50.907528,14.847233,113.02778,136.24873,23.220955,4.7035804,8.018685,3.315105,13.666478,22.708197,9.0417185,269.79117,296.84702,27.055847
2015-06-16,30.477654,39.43057,8.952915,79.32621,129.07939,49.75318,8.805012,10.089595,1.2845831,33.62263,45.890453,12.267822,305.91684,430.04547,124.12863
2015-06-17,28.53674,28.625103,0.08836365,79.85529,106.26491,26.409615,7.460973,8.1331415,0.67216873,25.429657,46.24299,20.813332,343.46692,780.7666,437.29968
2015-06-18,20.15013,21.862816,1.7126865,70.48123,93.97309,23.49186,7.429281,10.466287,3.0370054,21.908594,41.20174,19.293146,267.04837,649.9679,382.91953
2015-06-19,31.24784,17.629824,-13.618017,73.16261,95.95776,22.79515,12.345324,13.243158,0.8978348,25.812366,34.230816,8.418449,233.60469,421.06943,187.46474
2015-06-20,44.552013,13.981948,-30.570065,98.63157,85.372154,-13.259415,9.735437,10.462304,0.7268667,18.8212,27.39743,8.576231,208.37656,298.4882,90.11163
2015-06-21,34.579384,11.290622,-23.288761,89.07587,63.90635,-25.169518,7.028221,6.877147,-0.15107393,20.2286,18.982327,-1.246273,208.89256,222.04944,13.156876
