time,obs_hanzhong,pred_hanzhong,err_hanzhong,obs_yangxian,pred_yangxian,err_yangxian,obs_youshui,pred_youshui,err_youshui,obs_lianghekou,pred_lianghekou,err_lianghekou,obs_shiquan,pred_shiquan,err_shiquan
2011-07-22,283.1282,273.8743,-9.253906,742.43256,660.1608,-82.27173,37.070824,40.364235,3.2934113,213.08192,181.26262,-31.819305,1696.9172,933.23444,-763.6828
2011-07-23,125.70937,162.9921,37.282722,522.62836,399.73254,-122.89581,24.680834,30.555613,5.8747787,127.17169,150.38358,23.211884,1527.4221,1188.7325,-338.68958
2011-07-24,54.837208,74.72161,19.884403,183.66467,192.3157,8.6510315,14.382601,16.026987,1.6443863,80.589806,94.87475,14.284943,777.0804,1012.2425,235.16211
2011-07-25,33.304546,45.735413,12.430866,83.27139,98.15937,14.887978,7.955682,9.127922,1.1722403,44.612198,50.994762,6.3825645,367.59467,608.8382,241.24353
2011-07-26,105.73459,95.904564,-9.830025,147.17458,162.07405,14.899475,11.049173,13.28256,2.233387,30.766367,40.805153,10.038786,279.87854,441.30008,161.42154
2011-07-27,306.78738,242.96355,-63.823837,581.7856,388.84036,-192.94522,16.232744,20.526093,4.2933483,25.506987,32.01043,6.503443,892.101,406.57745,-485.52356
2011-07-28,230.54619,380.63574,150.08955,587.6627,607.5688,19.906067,28.646158,46.684204,18.038046,63.694168,62.624733,-1.0694351,1121.8157,329.32986,-792.48584
2011-07-29,738.09595,682.5846,-55.511353,1139.2463,967.2051,-172.04126,74.586006,93.2767,18.690697,224.36124,180.2246,-44.136642,1577.1024,381.58102,-1195.5214
2011-07-30,621.2726,744.0917,122.81909,1482.2169,1103.8531,-378.36377,62.96629,87.87058,24.904293,226.46095,277.78802,51.327072,2641.1514,1118.5759,-1522.5754
2011-07-31,320.97815,568.56476,247.58661,1033.6552,1144.5883,110.933105,48.569057,72.87013,24.301075,293.16693,391.9564,98.78946,2963.6194,2846.5632,-117.05615
